date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:34:40	12238/12238	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Jan%202025%2018:04:40%20GMT	https://kitchen-sale.xyz/product-details/d9d4f495e875a2e075a1a4a6e1b9770f	C:/Users/manish/OneDrive/Desktop/ankit/flipkart/kitchen-sale.xyz/product-details/d9d4f495e875a2e075a1a4a6e1b9770f.html	(from )
23:34:40	41897/41897	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Jan%202025%2018:04:40%20GMT	https://kitchen-sale.xyz/	C:/Users/manish/OneDrive/Desktop/ankit/flipkart/kitchen-sale.xyz/index.html	(from )
23:34:40	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-b6f3496ee324e6dd;gz%22	https://kitchen-sale.xyz/robots.txt		(from )
23:34:42	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Jan%202025%2018:04:42%20GMT	http://kitchen-sale.xyz/assets/css/bootstrap.min.css	C:/Users/manish/OneDrive/Desktop/ankit/flipkart/kitchen-sale.xyz/assets/css/bootstrap.min.2.delayed	(from https://kitchen-sale.xyz/)
23:34:42	245413/245413	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2023%20Jan%202025%2018:04:41%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/manish/OneDrive/Desktop/ankit/flipkart/connect.facebook.net/en_US/fbevents.js	(from https://kitchen-sale.xyz/)
23:34:44	232855/232855	---M-Z	200	added ('OK')	text/css	etag:%2238d97-678b4959-241e40ad700fd42b;gz%22	https://kitchen-sale.xyz/assets/css/bootstrap.min.css	C:/Users/manish/OneDrive/Desktop/ankit/flipkart/kitchen-sale.xyz/assets/css/bootstrap.min.css	(from https://kitchen-sale.xyz/)
23:34:44	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Jan%202025%2018:04:42%20GMT	http://kitchen-sale.xyz/assets/css/custom.css	C:/Users/manish/OneDrive/Desktop/ankit/flipkart/kitchen-sale.xyz/assets/css/custom.css	(from https://kitchen-sale.xyz/)
23:34:44	27549/27549	---M-Z	200	added ('OK')	text/css	etag:%226b9d-678b4959-6ccd30920d3c11cd;gz%22	https://kitchen-sale.xyz/assets/css/custom.css	C:/Users/manish/OneDrive/Desktop/ankit/flipkart/kitchen-sale.xyz/assets/css/custom.css	(from https://kitchen-sale.xyz/)
23:34:45	6152/6152	---M--	200	added ('OK')	image/png	etag:%22cbb3574d8917c6e90afbde646abac360%22	https://static-assets-web.flixcart.com/batman-returns/batman-returns/p/images/logo_lite-cbb357.png	C:/Users/manish/OneDrive/Desktop/ankit/flipkart/static-assets-web.flixcart.com/batman-returns/batman-returns/p/images/logo_lite-cbb357.png	(from https://kitchen-sale.xyz/)
23:34:45	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Jan%202025%2018:04:45%20GMT	http://kitchen-sale.xyz/api_services/manage.php	C:/Users/manish/OneDrive/Desktop/ankit/flipkart/kitchen-sale.xyz/api_services/manage.7.delayed	(from https://kitchen-sale.xyz/)
